Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19
3,28,28,86,67,97,39,46,98,10,62,99,94,21,78,94,3,58,63,94,36,14
3,29,28,86,67,97,39,46,98,10,62,99,94,21,78,94,3,58,63,94,36,0
3,30,28,86,67,97,39,46,98,10,62,99,94,21,78,94,3,54,63,94,36,4
3,31,28,86,67,97,39,46,98,10,62,99,94,21,78,94,3,54,63,94,36,10
3,32,28,86,67,93,39,46,98,10,62,99,94,21,78,94,3,54,63,94,32,14
3,33,28,86,67,93,39,46,98,10,62,99,97,21,78,94,3,54,63,94,32,8
3,34,28,86,67,93,39,46,98,10,62,99,97,21,78,94,3,54,63,94,37,51
3,35,28,86,67,93,39,46,98,10,62,99,97,21,78,94,3,54,63,94,37,10
3,36,28,86,67,93,39,46,98,10,62,99,97,21,78,94,3,54,63,94,37,51
3,37,28,86,67,93,39,46,98,10,62,99,97,21,78,94,3,54,63,94,32,4
3,38,28,86,67,93,39,46,98,10,62,99,97,21,78,94,3,54,63,94,32,50
3,39,28,86,67,93,39,46,98,10,62,99,97,21,78,94,3,54,63,94,37,14
4,0,80,56,28,82,10,26,30,72,66,87,53,81,32,93,76,53,58,77,8,47
4,1,89,6,18,13,10,21,40,12,0,67,51,48,35,94,8,83,54,96,69,97
4,2,89,26,46,13,10,21,50,2,36,57,4,11,34,94,58,13,58,97,39,97
4,3,39,86,94,63,10,21,68,92,20,47,58,18,36,94,28,13,54,93,99,67
4,4,39,86,94,63,10,21,78,62,46,94,58,68,32,94,28,13,54,93,99,67
4,5,39,86,94,63,10,21,78,62,46,94,4,68,32,94,28,3,54,93,98,67
4,6,39,86,94,63,10,21,78,62,46,94,4,98,32,94,28,3,54,93,99,67
4,7,39,86,94,63,10,21,78,62,46,94,4,98,32,94,28,3,54,93,98,67
4,8,39,86,94,63,10,21,78,62,46,94,4,98,32,94,28,3,54,93,98,67
4,9,39,86,94,63,10,21,78,62,46,94,4,98,32,94,28,3,54,93,98,67
4,10,39,86,94,63,10,21,78,62,46,97,4,98,32,94,28,3,54,93,99,67
4,11,39,86,94,63,10,21,78,62,46,97,4,98,32,94,28,3,54,93,99,67
4,12,39,86,94,63,10,21,78,62,46,97,4,98,32,94,28,3,54,93,98,67
4,13,39,86,94,63,10,21,78,62,46,97,14,98,37,94,28,3,58,93,99,67
4,14,39,86,94,63,10,21,78,62,46,97,14,98,37,94,28,3,54,93,98,67
4,15,39,86,96,63,10,21,78,62,46,97,14,98,37,94,28,3,58,93,99,67
4,16,39,86,96,63,10,21,78,62,46,97,14,98,37,94,28,3,58,97,99,67
4,17,39,86,96,63,10,21,78,62,46,97,4,98,37,94,28,3,58,97,99,67
4,18,39,86,96,63,10,21,78,62,46,97,4,98,37,94,28,3,58,97,99,67
4,19,39,86,96,63,10,21,78,62,46,97,4,98,37,94,28,3,58,97,99,67
4,20,39,86,96,63,10,21,78,62,46,97,4,98,37,94,28,3,58,97,99,67
4,21,39,86,96,63,10,21,78,62,46,97,4,98,37,94,28,3,58,97,99,67
4,22,39,86,96,63,10,21,78,62,46,97,4,98,37,94,28,3,58,97,99,67
4,23,39,86,96,63,10,21,78,62,46,97,4,98,37,94,28,3,58,93,99,67
4,24,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,93,99,67
4,25,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,93,99,67
4,26,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,93,99,67
4,27,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,93,99,67
4,28,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,97,99,67
4,29,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,93,99,67
4,30,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,93,99,67
4,31,39,86,96,63,10,21,78,62,46,97,4,98,36,94,28,3,54,93,99,67
4,32,39,86,96,63,10,21,78,62,46,97,0,98,32,94,28,3,58,93,99,67
4,33,39,86,96,63,10,21,78,62,46,97,0,98,32,94,28,3,58,93,99,67
4,34,39,86,96,63,10,21,78,62,46,97,0,98,32,94,28,3,58,93,99,67
4,35,39,86,96,63,10,21,78,62,40,97,0,98,32,94,28,3,58,93,99,67
4,36,39,86,96,63,10,21,78,62,40,97,0,91,32,94,28,3,58,93,99,67
4,37,39,86,94,63,10,21,78,62,40,97,0,98,32,94,28,3,58,93,98,67
4,38,39,86,94,63,10,21,78,62,40,97,58,98,32,94,28,3,58,93,99,67
4,39,39,86,94,63,10,21,78,62,40,97,58,98,32,94,28,3,58,93,99,67
