Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159,agent-160,agent-161,agent-162,agent-163,agent-164,agent-165,agent-166,agent-167,agent-168,agent-169
0,20,98,14,12,51,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,92,31,89,31,56,34,99,83,39,76,63,91,80,44,14,87,0,38,43,30,82,33,9,7,55,51,67,20,96,77,89,4,14,28,92,46,58,57,98,40,13,85,88,93,73,68,20,10,86,75,99,41,30,95,70,5,27,12,6,87,38,36,25,88,36,34,19,17,92,61,10,29,45,56,73,63,71,18,3,16,76,73,58,51,80,23,74,86,90,34,6,24,45,76,79,19,14,63,70,23,7,72,32,28,59,34,12,3,15,10,43,38,75,44,47,35,95,12,65,83,73,87,38,75,89,63,24,39,30,12,79,4,81,46,25,0,81,85,81,86,64,84,18,18,38,63
0,21,98,14,12,51,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,92,31,89,31,56,34,99,83,39,76,63,91,80,44,14,87,0,38,43,30,82,33,9,7,55,51,67,4,96,77,89,4,14,28,92,46,58,57,98,40,13,85,88,93,73,68,20,10,86,75,99,41,30,95,70,5,27,12,6,87,38,36,25,88,36,34,19,17,92,61,10,29,45,56,73,63,71,18,3,16,76,73,58,51,80,54,74,86,90,34,6,24,45,76,79,19,14,63,70,23,7,72,32,28,59,34,12,3,15,10,43,38,75,44,47,39,97,12,65,83,73,87,38,75,89,63,24,39,30,12,79,4,81,46,25,0,81,85,81,86,64,84,18,18,38,63
0,22,98,14,12,51,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,80,44,14,87,0,38,43,30,82,33,9,7,55,51,67,4,96,77,89,4,14,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,95,70,5,27,12,6,87,38,36,25,88,36,34,19,17,92,61,10,29,93,56,96,63,71,12,3,16,76,73,58,51,80,54,74,86,90,34,6,24,45,76,79,19,84,63,70,23,7,72,32,28,59,34,12,3,15,10,43,38,75,44,47,39,97,12,65,83,73,82,38,75,89,63,24,39,30,12,79,4,81,46,28,0,81,85,81,86,64,84,8,18,38,63
0,23,98,14,12,1,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,60,44,14,87,0,38,43,30,82,33,9,7,55,51,87,4,96,71,89,4,44,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,98,70,5,27,17,6,87,38,36,25,81,22,34,19,17,92,61,10,29,93,56,96,63,71,12,3,6,76,73,18,51,80,54,74,86,90,34,6,24,45,76,79,19,84,63,70,23,7,52,12,28,29,34,12,3,15,10,43,38,75,44,41,35,97,12,65,83,73,82,38,75,89,63,28,45,30,12,79,4,11,46,28,4,81,85,81,86,64,84,8,18,38,63
0,24,98,14,12,1,30,67,79,84,8,10,67,65,7,48,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,60,44,14,87,0,38,43,30,82,33,88,7,55,51,87,4,96,71,89,4,44,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,94,70,75,82,17,6,87,38,35,25,81,22,34,19,17,92,61,10,29,93,56,96,63,71,12,3,6,76,73,18,54,80,54,74,86,90,34,6,24,45,76,79,19,84,63,70,23,8,52,52,28,29,34,12,3,15,10,43,38,75,44,41,39,67,12,65,83,73,82,38,75,81,63,28,45,30,12,79,4,11,46,28,70,81,85,81,86,64,84,8,18,38,63
0,25,98,14,12,1,30,67,79,84,8,0,67,65,7,48,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,60,44,14,87,0,38,43,30,87,33,78,7,55,51,87,4,95,70,89,4,44,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,94,70,75,82,12,6,87,98,35,25,50,22,34,19,17,92,61,10,29,93,56,96,63,71,12,3,6,76,73,18,54,80,57,74,28,90,34,6,24,45,76,79,19,84,63,70,23,8,52,52,28,29,34,12,3,15,10,43,38,75,44,41,39,67,12,65,83,73,82,38,75,89,63,21,45,30,12,79,4,11,46,25,74,81,85,81,86,64,84,1,18,38,63
0,26,98,14,12,1,30,67,79,84,8,0,67,65,7,28,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,60,44,14,87,0,38,43,30,87,33,78,7,55,51,87,4,95,71,89,6,44,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,94,70,75,82,12,6,87,98,35,25,50,22,34,19,17,92,61,10,29,93,56,96,63,71,12,3,6,76,73,18,54,80,57,74,28,90,4,6,24,45,76,79,19,84,63,70,23,8,52,52,28,29,34,12,9,15,10,43,38,75,44,41,39,67,12,65,83,71,82,38,75,89,63,21,47,30,12,79,4,11,46,25,74,81,85,81,86,64,84,1,18,38,63
0,27,98,14,12,1,30,67,79,84,8,0,67,65,7,28,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,60,44,14,87,0,38,43,30,87,33,78,7,55,51,87,4,95,71,89,6,44,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,94,70,75,82,12,6,87,98,35,25,50,22,34,19,17,92,61,10,29,93,56,96,63,71,12,3,6,76,73,18,54,80,57,74,28,90,4,6,24,45,76,79,19,84,63,70,23,8,52,52,28,29,34,12,9,15,10,43,38,75,44,41,39,67,12,65,83,71,82,38,79,89,63,21,47,30,12,79,4,11,46,25,70,81,85,81,86,64,84,1,18,38,63
0,28,98,14,12,1,30,67,79,84,8,0,67,65,7,28,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,60,44,14,87,0,38,43,30,87,33,78,7,55,51,87,4,95,71,89,6,44,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,94,70,75,82,12,6,87,98,35,25,50,22,34,19,17,92,61,10,29,93,56,96,63,71,12,3,6,76,73,18,54,80,57,74,28,90,4,6,24,45,76,79,19,84,63,70,23,8,52,52,28,29,34,12,9,15,10,43,38,75,44,41,39,67,12,65,83,71,82,38,79,89,63,21,47,30,12,79,4,11,46,25,70,81,85,81,86,64,84,1,18,38,63
0,29,98,14,12,1,30,67,79,84,8,0,67,65,7,28,87,1,78,74,14,82,77,53,30,16,98,31,89,31,76,34,99,83,39,76,63,91,60,44,14,87,0,38,43,30,87,33,78,7,55,51,87,4,95,71,89,6,44,28,92,46,58,57,98,40,13,85,88,93,73,16,20,10,86,75,99,41,30,94,70,75,82,12,6,87,98,35,25,50,22,34,19,17,92,61,10,29,93,56,96,63,71,12,3,6,76,73,18,54,80,57,74,28,90,4,6,24,45,76,79,19,84,63,70,23,8,52,52,28,29,34,12,9,15,10,43,38,75,44,41,39,67,12,65,83,71,82,38,79,89,63,21,47,30,12,79,4,11,46,25,70,81,85,81,86,64,84,1,18,38,63
