Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79
0,27,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,33,0,2
0,28,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,33,0,2
0,29,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,95,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,33,0,2
0,30,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,36,0,2
0,31,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,36,0,2
0,32,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,36,0,2
0,33,58,53,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,36,0,2
0,34,58,52,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,41,23,64,64,45,1,36,40,0,31,5,83,30,73,3,51,84,42,13,48,90,33,0,2
0,35,58,52,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,40,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,36,0,2
0,36,58,52,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,40,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,36,0,2
0,37,58,52,11,75,5,60,74,97,98,27,97,80,58,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,40,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,36,0,2
0,38,58,52,11,75,5,60,74,97,98,27,97,80,51,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,40,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,36,0,2
0,39,58,52,11,75,5,60,74,97,98,27,97,80,51,79,59,14,84,92,91,95,31,87,55,42,58,56,17,35,89,27,77,28,64,11,65,33,46,58,58,56,53,24,31,86,29,70,97,28,91,67,24,21,25,87,77,42,40,23,64,64,45,1,36,40,0,31,5,84,30,73,3,51,84,42,13,48,90,36,0,2
1,0,12,55,85,50,67,45,95,78,0,24,25,53,94,59,29,81,98,42,9,90,75,28,12,34,46,16,65,2,38,84,73,99,53,28,19,35,81,92,53,63,88,88,16,75,14,75,27,23,41,90,75,69,5,67,75,30,71,37,20,58,2,39,97,90,62,27,51,73,82,30,83,52,6,45,48,6,68,66,36,35
1,1,12,55,85,50,67,45,95,78,0,24,25,53,94,59,29,81,98,43,3,12,72,39,35,4,45,48,10,2,16,85,76,99,53,28,19,35,81,92,53,63,88,88,16,75,14,75,27,23,41,44,78,50,2,69,76,49,50,37,20,58,2,39,97,90,62,63,1,52,47,30,83,52,6,27,89,6,68,64,36,35
1,2,41,57,89,56,68,45,91,76,19,23,31,56,90,51,6,83,98,43,3,12,72,39,35,4,45,48,10,2,16,85,76,99,53,22,18,5,81,58,3,99,88,80,67,72,11,76,52,82,57,44,78,50,2,69,76,49,50,34,70,3,39,61,90,90,49,63,1,52,47,2,63,30,1,27,89,6,69,64,25,36
1,3,62,57,89,56,68,45,91,76,19,23,34,56,90,50,9,31,98,41,6,53,72,47,31,71,41,48,10,2,16,85,76,99,53,75,15,5,87,42,77,96,83,80,67,72,11,46,77,88,27,4,75,56,6,69,76,49,50,38,31,84,72,61,90,95,91,60,18,52,47,85,17,30,5,2,89,6,69,63,12,36
1,4,62,57,89,56,68,45,91,76,19,23,34,56,90,50,9,31,98,49,6,50,72,41,31,44,44,58,49,5,74,85,76,93,18,75,15,5,87,42,77,96,83,80,67,72,11,46,77,88,27,4,78,52,72,64,26,49,26,38,31,84,72,61,90,95,91,65,11,28,27,85,17,30,5,88,19,6,69,67,12,36
1,5,66,57,89,56,68,45,91,76,19,23,34,56,90,50,9,31,98,49,6,50,72,41,31,44,44,38,48,5,4,85,76,93,19,75,15,5,87,48,76,20,89,80,67,72,11,46,77,88,27,4,78,52,72,65,86,24,20,38,31,29,72,61,90,95,91,65,11,22,27,85,17,30,5,88,19,6,69,67,12,6
1,6,66,57,89,56,6,45,97,73,86,23,34,57,93,50,9,31,98,49,6,50,72,41,31,44,44,38,48,5,4,85,76,93,19,75,15,5,87,48,76,20,89,80,40,72,11,46,68,88,27,4,78,52,72,65,86,24,20,38,31,29,72,91,30,95,91,65,11,22,27,85,17,32,9,88,19,6,69,67,12,6
1,7,66,57,89,56,6,45,97,73,86,23,34,57,93,50,9,31,98,49,6,50,72,41,31,44,44,38,48,5,0,85,76,93,13,75,15,5,87,48,76,20,89,80,40,72,11,46,68,88,27,4,78,52,72,65,49,24,20,38,31,29,72,91,30,95,91,65,11,28,27,85,17,32,9,88,17,6,69,67,12,6
1,8,66,57,79,56,6,49,97,73,86,23,34,57,93,50,39,31,38,81,6,50,70,61,1,44,44,38,48,5,0,85,76,93,13,75,15,75,87,48,76,20,89,87,40,72,11,46,68,88,77,4,79,2,72,65,49,24,20,38,41,69,72,91,30,95,71,95,21,28,27,25,17,32,9,89,17,6,61,67,90,6
1,9,63,54,4,56,6,49,97,73,86,23,34,97,93,50,39,71,58,81,6,50,70,61,1,44,44,38,48,5,0,85,76,93,13,75,12,75,84,8,76,20,69,80,40,72,11,49,68,8,77,4,79,2,72,65,49,24,20,38,11,69,72,41,30,55,71,95,21,28,27,25,7,92,9,89,17,6,61,67,90,6
1,10,63,54,4,51,6,79,97,3,86,23,34,97,93,50,39,71,58,81,0,42,40,61,1,41,44,38,48,5,0,85,76,93,13,75,12,75,84,8,76,20,69,87,80,72,51,49,68,8,77,4,86,2,79,65,49,24,20,38,61,39,52,41,50,55,71,95,21,28,27,25,7,94,9,89,17,6,79,77,90,6
1,11,63,54,4,51,16,79,97,3,56,23,34,97,93,0,39,71,58,81,0,2,40,61,1,41,44,28,8,5,40,85,76,93,13,75,12,75,84,8,26,20,69,87,80,72,51,49,98,8,67,4,89,2,79,65,49,43,0,38,61,39,52,1,50,55,71,95,21,28,27,25,7,94,9,99,27,6,81,77,90,56
1,12,63,54,4,51,16,79,97,6,56,33,34,97,93,0,39,71,58,81,40,2,30,61,7,41,44,28,8,5,40,85,76,93,13,75,12,25,84,8,28,20,69,87,80,72,41,49,98,8,67,64,80,2,34,65,49,43,0,38,61,39,52,1,80,55,71,95,34,28,27,65,33,94,9,99,27,6,81,97,90,56
