Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109
0,24,30,27,18,90,4,93,21,39,50,84,99,92,14,80,15,90,51,24,82,53,59,19,86,78,98,85,10,1,49,44,58,57,61,80,93,48,61,89,30,22,59,55,27,23,16,12,54,57,87,40,57,89,16,91,57,92,31,70,74,87,17,33,12,56,10,99,95,99,27,62,14,67,33,33,85,46,11,98,33,92,96,59,16,26,2,68,10,49,43,61,92,76,60,36,92,30,39,23,37,71,52,14,86,49,12,53,56,87,83,59
0,25,30,27,18,90,4,93,21,39,50,84,99,92,14,80,15,90,51,24,82,53,59,19,86,78,98,85,10,1,49,44,58,57,61,80,90,48,61,89,30,22,59,95,27,23,16,12,54,57,87,40,57,89,16,91,57,92,31,70,74,87,17,33,12,56,10,99,95,99,27,62,14,67,33,33,85,46,31,98,33,92,96,59,16,26,2,68,10,68,43,61,92,99,60,36,74,30,39,23,37,71,52,14,86,49,12,51,56,87,83,59
0,26,30,27,18,90,4,93,21,39,50,84,99,92,14,80,15,90,51,24,82,53,39,19,86,78,98,84,10,1,49,44,58,57,61,80,90,48,61,89,30,22,59,95,27,29,16,12,54,87,87,0,57,87,16,97,57,92,31,70,74,87,17,33,12,56,10,99,95,99,27,92,14,67,33,33,85,96,31,98,33,92,91,59,36,26,2,68,10,68,43,61,62,99,60,36,74,31,32,23,37,71,52,14,86,49,12,50,56,93,83,59
0,27,30,27,18,90,4,93,21,39,50,84,99,1,14,60,14,90,51,24,82,53,39,19,86,78,98,84,10,1,49,44,58,57,61,80,90,48,61,89,30,22,59,95,27,29,16,12,54,87,87,0,57,87,16,97,57,92,31,70,74,82,17,33,12,56,10,99,95,99,27,92,14,67,33,33,85,96,31,98,33,92,91,59,36,26,2,18,10,68,43,61,62,99,60,36,74,0,32,23,90,71,52,14,86,49,12,50,56,98,83,59
0,28,30,27,18,94,4,93,21,32,55,84,99,1,14,60,14,90,51,24,82,53,39,19,86,78,98,84,10,1,49,44,58,57,61,80,90,48,61,89,30,22,59,95,27,29,16,12,54,87,87,0,57,87,96,97,57,72,31,50,74,82,17,33,12,56,10,99,95,99,27,92,14,67,33,33,85,96,31,98,33,92,81,59,36,26,2,18,10,68,43,61,62,99,60,36,74,1,39,73,90,71,52,14,86,49,12,50,56,93,83,59
0,29,30,27,18,94,4,93,21,32,55,84,99,1,14,60,14,90,51,24,82,53,39,29,86,78,98,84,90,11,49,44,58,27,61,80,90,78,61,80,30,72,59,95,77,23,16,12,14,87,87,0,57,87,96,97,57,72,31,50,74,82,17,33,12,56,10,59,95,79,27,92,14,67,33,33,85,96,31,98,33,92,81,59,36,26,2,18,10,61,43,51,62,99,60,36,74,1,39,73,90,71,52,24,86,49,12,51,58,93,83,59
0,30,30,27,12,4,4,93,21,92,55,84,99,1,14,60,17,90,51,24,82,53,39,29,86,78,98,84,90,11,49,44,58,27,61,80,90,78,61,80,30,72,59,95,77,23,16,12,14,87,87,0,57,87,96,97,57,72,1,50,74,82,17,33,17,56,10,59,95,79,27,92,14,67,33,33,85,96,31,98,33,92,81,59,36,26,2,18,10,61,43,51,62,99,60,36,74,1,39,73,97,71,52,24,86,49,12,51,58,93,83,59
0,31,30,27,12,4,4,93,21,92,55,84,99,1,14,60,17,90,51,84,82,53,39,29,86,78,98,84,90,11,49,44,58,27,61,80,90,78,61,80,30,72,59,5,77,23,66,12,14,87,87,0,57,87,96,97,57,72,1,50,74,82,17,33,17,56,10,59,95,79,27,92,14,17,33,33,85,96,31,98,33,92,81,59,36,26,2,18,10,61,43,51,62,96,60,36,72,1,39,73,97,91,52,24,86,49,12,50,54,93,83,59
0,32,30,27,12,4,4,93,21,92,55,84,99,1,14,60,17,90,51,24,82,53,39,29,86,78,78,84,90,11,49,44,58,27,61,80,90,78,61,77,30,72,59,5,77,23,66,12,14,87,87,0,57,87,96,97,57,72,1,50,74,82,17,33,17,56,10,59,95,79,27,92,14,17,33,33,85,96,31,98,33,92,81,59,36,26,2,18,10,62,43,51,62,92,60,36,72,1,39,73,97,91,52,24,86,49,12,50,54,93,83,59
0,33,30,27,41,4,4,93,21,92,55,84,99,1,14,60,17,90,51,24,82,53,39,29,86,78,78,84,90,11,59,44,58,27,61,80,90,78,61,77,30,72,59,5,77,23,66,12,14,87,87,0,57,87,96,27,57,72,1,50,74,82,17,33,17,56,10,59,95,79,27,92,14,17,33,33,85,96,31,98,33,92,81,59,36,26,2,18,10,62,43,51,62,92,60,36,72,1,39,73,97,91,52,24,86,49,12,51,54,98,83,59
