Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159
0,20,51,8,40,58,40,78,43,97,85,25,65,90,95,57,9,28,50,34,62,22,24,16,55,58,5,74,13,11,21,33,55,51,33,38,60,28,14,11,65,4,82,97,33,68,76,90,97,18,32,33,0,55,47,34,98,33,30,29,38,96,2,24,25,8,42,40,66,16,31,12,29,30,35,92,91,61,10,51,33,56,62,13,95,61,93,68,96,72,34,0,86,58,58,10,62,23,15,68,62,97,55,25,13,25,55,32,95,86,16,88,44,40,85,51,39,84,49,83,65,25,12,99,90,52,69,83,39,27,13,39,30,93,58,50,98,88,17,16,41,79,18,79,40,70,42,19,2,85,37,83,23,97,31,13,31,36,92,96,83,37
0,21,51,8,40,58,40,78,43,97,85,25,65,90,95,57,9,28,50,34,62,22,24,16,55,58,5,74,13,11,21,33,55,51,33,38,60,28,14,11,65,4,86,97,33,68,76,90,97,18,32,3,42,39,7,34,98,33,30,29,38,96,2,24,25,8,42,40,66,16,31,12,29,30,35,92,91,61,10,51,33,56,62,13,95,61,93,68,96,72,34,0,86,58,58,10,62,23,15,68,64,97,45,25,13,25,55,52,95,86,16,86,44,40,85,51,39,84,49,83,65,25,12,99,90,52,69,83,39,27,13,34,30,13,58,60,98,88,17,16,41,79,18,79,40,70,42,19,72,85,37,83,23,97,31,13,31,36,92,96,83,32
0,22,51,8,40,28,40,78,45,97,85,25,69,90,95,57,9,88,50,34,62,22,24,16,55,58,5,74,13,11,21,32,55,51,33,38,60,28,14,11,65,4,86,94,33,68,36,90,97,18,32,3,42,39,7,34,68,33,50,29,38,96,2,24,25,8,42,40,66,16,31,12,29,17,35,92,91,61,10,51,33,56,12,13,95,64,53,98,96,78,23,0,86,58,58,10,62,23,5,68,64,97,40,25,13,15,55,52,95,36,16,86,44,40,85,51,39,84,49,83,65,25,12,99,80,52,69,83,39,27,13,34,30,13,58,60,88,88,17,16,41,79,18,79,41,70,12,19,72,85,37,83,23,97,31,13,31,38,98,96,81,32
0,23,51,8,40,28,40,78,45,94,85,25,69,90,95,57,9,88,20,34,62,82,24,16,55,58,5,94,13,51,11,33,65,51,33,38,60,28,14,11,65,4,86,94,33,68,36,90,97,18,32,3,42,39,7,34,68,33,50,29,38,96,2,24,25,8,42,40,66,16,31,93,29,10,35,92,91,61,10,51,33,56,12,19,95,24,53,98,96,72,23,0,86,58,28,10,62,63,5,68,64,97,40,25,13,15,55,52,95,36,16,86,44,40,85,51,39,84,49,83,65,25,72,99,80,52,69,83,37,25,13,34,30,13,58,60,88,88,17,16,41,51,18,9,70,70,19,19,72,85,37,84,23,97,31,13,31,36,98,96,81,32
0,24,51,8,40,28,40,78,45,94,85,25,69,90,95,57,9,88,20,34,62,83,24,16,55,58,5,94,13,51,11,33,65,51,33,38,60,28,14,11,65,4,86,94,33,68,36,90,97,18,32,93,42,39,2,34,68,33,50,29,38,96,72,24,65,8,42,40,66,16,31,91,29,17,35,92,91,61,10,51,33,56,12,19,95,21,53,98,96,72,23,6,6,58,28,10,62,63,5,68,64,97,40,25,13,15,55,2,78,36,16,16,44,40,5,51,39,88,49,83,65,25,82,99,80,52,69,83,37,25,3,34,30,13,58,68,78,81,17,16,41,51,18,9,70,70,19,19,72,55,37,84,23,90,31,13,31,38,92,96,81,32
0,25,51,8,40,28,40,78,45,94,85,25,69,90,95,57,9,88,20,34,62,83,24,16,55,58,5,94,13,51,11,33,65,51,33,38,0,28,84,11,65,4,86,94,33,68,36,60,97,18,32,93,42,39,2,34,68,33,50,29,38,86,72,24,65,8,42,40,66,16,31,91,29,17,35,92,91,61,10,51,33,56,12,19,95,21,53,98,96,72,23,6,6,58,28,10,62,63,5,68,64,97,48,15,13,35,55,2,78,36,16,16,44,40,5,51,39,88,49,83,65,25,82,99,80,52,69,83,37,25,3,34,30,13,58,68,78,48,17,16,41,51,18,9,70,70,19,19,72,55,36,84,23,90,31,13,31,38,92,96,81,32
0,26,51,8,40,28,40,78,45,94,85,25,95,90,35,57,0,88,20,34,62,83,24,16,65,53,85,94,13,51,11,33,65,51,33,38,0,28,84,11,65,4,86,94,33,68,36,60,97,18,32,93,42,39,2,34,68,33,50,29,38,86,72,24,65,8,42,40,66,46,31,91,29,10,35,92,91,61,20,51,33,56,12,19,95,21,53,98,96,42,74,6,6,58,28,10,42,63,5,68,64,97,48,15,13,35,55,2,78,36,16,16,44,40,5,51,39,84,79,33,65,25,82,99,80,52,69,83,37,22,3,34,30,13,58,68,78,48,17,16,11,59,18,9,70,70,19,19,72,55,36,83,73,90,31,13,31,38,98,96,83,32
0,27,51,8,40,28,40,48,45,97,85,25,95,90,35,57,0,88,20,34,62,83,24,16,65,53,85,94,13,51,11,56,65,61,33,38,0,28,84,11,65,4,86,94,33,68,36,60,97,18,32,43,42,92,2,34,68,33,50,29,38,86,72,24,65,58,22,40,66,46,31,91,29,10,35,92,91,61,20,51,43,56,22,13,95,21,53,98,96,42,74,6,6,58,28,10,42,63,5,68,64,97,48,15,13,35,55,2,73,46,16,16,44,40,5,51,39,84,79,33,65,25,82,69,80,52,69,83,37,22,3,34,30,13,58,68,78,48,17,16,11,59,18,9,70,70,19,19,72,55,37,83,73,10,31,13,31,36,92,96,63,2
0,28,51,8,40,28,40,48,45,97,85,25,95,90,35,57,0,88,20,34,62,83,24,16,68,53,85,94,13,51,11,56,65,61,33,38,50,58,84,11,65,4,86,94,33,38,46,60,77,18,83,43,74,99,72,34,68,33,50,19,39,86,72,24,65,58,22,40,66,46,31,91,29,20,35,92,91,61,20,51,43,56,85,13,95,21,53,98,96,42,74,6,6,58,28,10,42,63,5,68,62,57,48,15,13,65,58,82,72,46,16,16,44,40,5,51,39,84,79,33,65,25,82,69,80,52,69,83,47,25,3,34,30,13,58,68,78,48,17,16,11,51,18,9,70,70,12,19,72,55,37,83,73,10,31,13,31,38,98,96,61,2
0,29,51,8,40,28,40,48,45,97,85,25,95,90,35,57,0,88,20,34,62,83,24,16,68,53,85,94,13,51,11,56,65,61,33,38,50,58,84,11,65,4,86,94,32,38,46,60,77,58,83,43,74,99,71,34,68,33,50,19,39,86,72,24,65,58,22,40,66,46,31,91,29,20,35,92,91,61,20,51,43,56,80,13,95,21,53,98,96,42,74,6,6,58,28,10,42,63,5,68,62,57,48,15,13,65,55,82,72,46,16,16,44,40,5,51,39,84,79,33,65,25,82,69,80,52,69,83,47,25,3,34,30,13,58,88,78,48,17,71,11,51,18,9,70,70,12,19,72,55,37,83,73,17,31,13,31,38,98,96,63,2
