Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49
1,4,38,73,42,22,82,40,81,0,20,1,60,51,8,84,16,84,2,90,47,98,18,63,17,72,73,43,95,67,20,18,92,58,3,84,52,24,33,99,31,11,16,86,59,16,17,34,59,32,73,46
1,5,38,73,42,22,82,40,81,0,20,1,60,52,77,9,16,84,2,90,97,98,18,63,17,72,73,43,95,67,20,18,92,88,82,81,52,24,33,99,31,11,16,76,77,16,17,34,50,32,43,46
1,6,41,73,31,32,82,60,83,4,35,47,63,52,77,9,16,84,2,90,97,38,8,56,47,7,45,48,55,40,20,18,72,88,87,81,52,74,33,49,91,51,12,76,97,66,7,57,55,32,42,41
1,7,41,73,31,32,82,60,83,13,32,87,69,52,77,9,48,84,2,90,97,38,8,56,47,7,45,48,55,40,20,12,57,88,89,81,52,74,33,49,91,51,10,6,97,66,7,47,50,32,44,41
1,8,48,73,31,32,82,60,83,13,32,87,69,52,28,0,48,84,2,97,97,38,8,36,47,7,45,38,15,40,20,12,57,86,80,81,82,74,33,49,81,51,10,6,37,66,7,47,50,22,41,51
1,9,41,75,1,32,82,60,83,13,32,87,69,52,28,3,48,84,2,75,97,38,8,36,47,7,45,38,15,40,20,12,57,88,80,81,82,74,33,89,61,51,10,6,37,46,7,47,59,22,41,51
1,10,41,75,1,36,82,63,83,10,32,87,69,52,28,3,48,84,2,75,97,38,8,36,47,7,45,38,15,40,20,17,47,86,80,81,82,74,33,89,61,6,15,46,37,46,7,47,59,22,51,51
1,11,21,75,1,36,82,63,83,10,32,87,69,52,28,3,48,84,2,75,97,28,8,36,47,7,45,38,75,40,20,17,47,86,80,81,92,54,33,89,61,6,15,46,37,46,7,47,50,92,51,51
1,12,21,75,1,36,82,63,83,10,32,87,69,12,28,3,48,24,2,75,67,28,8,36,47,7,15,38,85,40,20,17,47,86,93,81,92,54,33,19,61,6,15,26,37,46,87,47,55,92,51,51
1,13,21,75,1,36,81,61,89,20,88,27,63,12,28,3,48,24,2,75,67,28,8,36,47,57,15,38,85,80,20,14,47,86,93,81,92,54,33,29,61,6,13,26,37,46,87,97,55,92,51,51
1,14,21,75,1,36,81,63,89,20,88,27,63,12,28,3,98,24,2,75,67,28,48,36,97,57,15,38,85,80,70,14,47,86,91,81,2,54,33,39,61,6,13,26,37,46,87,97,50,52,51,51
1,15,21,33,1,36,81,61,89,20,78,27,63,12,28,3,98,24,2,75,61,28,48,36,97,57,15,38,85,80,70,12,47,86,91,81,2,54,33,39,21,76,15,26,47,46,87,97,55,82,21,51
1,16,21,33,1,36,81,1,89,20,78,27,63,12,28,3,98,24,2,75,61,28,48,86,97,57,15,38,85,80,70,12,47,86,91,81,2,54,33,9,21,71,15,26,47,46,67,97,55,82,21,51
1,17,21,33,1,36,81,1,89,20,78,27,16,12,28,3,98,24,2,15,61,28,48,86,97,57,15,38,85,80,70,12,47,86,91,81,72,54,33,9,21,71,10,26,47,46,67,97,55,82,1,51
1,18,21,33,1,36,81,1,89,20,78,27,16,12,46,3,98,24,2,15,61,28,48,86,97,57,55,38,85,80,70,12,47,86,90,41,72,54,33,9,21,71,10,26,47,46,67,97,50,82,1,51
1,19,21,35,51,31,88,1,33,20,78,27,16,12,46,3,98,24,2,15,61,28,48,86,97,57,55,38,85,80,76,12,47,86,90,41,72,54,33,9,21,71,10,26,47,46,77,97,50,82,1,51
1,20,21,35,51,31,88,1,33,20,62,27,16,12,46,3,98,24,25,15,61,28,48,86,97,57,55,38,85,80,76,17,47,86,90,41,72,54,33,9,21,71,10,26,47,46,77,97,50,82,1,51
1,21,21,35,51,31,88,1,33,20,62,27,16,12,46,3,98,24,25,15,61,28,48,86,97,57,55,38,85,80,76,17,17,86,90,41,72,54,33,9,21,71,10,26,47,46,77,97,50,82,1,51
1,22,21,35,51,31,88,1,33,20,62,27,16,12,46,3,98,24,25,15,61,28,48,86,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,23,21,35,51,31,88,1,33,20,62,27,16,12,46,3,98,24,25,15,61,28,48,86,97,57,55,88,85,80,76,17,17,86,91,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,24,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,86,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,25,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,86,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,26,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,86,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,27,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,86,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,28,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,86,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,29,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,30,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,31,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,32,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,17,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,33,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,14,17,86,90,41,72,54,33,4,21,71,15,26,47,46,77,97,50,82,1,51
1,34,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,14,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,35,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,14,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,36,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,14,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,37,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,14,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,38,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,14,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
1,39,21,35,51,31,88,1,33,20,62,27,16,14,46,3,98,24,25,15,61,28,48,83,97,57,55,88,85,80,76,14,17,86,90,41,72,54,33,4,21,71,10,26,47,46,77,97,50,82,1,51
2,0,18,15,29,84,45,8,57,6,25,3,18,65,87,5,85,61,31,98,69,97,66,96,76,95,9,56,4,78,67,75,26,67,80,89,17,93,24,38,53,39,36,72,56,84,87,34,71,78,93,21
2,1,11,16,69,86,48,18,97,86,25,3,42,61,20,5,5,64,39,83,79,12,96,94,71,93,4,98,1,71,68,51,55,23,83,27,87,91,52,32,53,79,56,82,51,81,84,64,73,78,20,20
2,2,10,18,69,86,48,18,97,86,25,3,42,61,20,5,5,64,39,83,79,66,86,93,76,96,29,36,5,71,68,51,55,23,83,27,87,23,14,38,53,79,56,82,51,89,84,64,73,46,20,20
2,3,10,12,69,86,48,44,17,74,95,3,42,4,20,5,5,94,33,80,56,66,86,93,76,96,29,38,7,71,68,11,55,93,83,23,37,23,14,38,53,19,0,32,51,89,84,17,87,46,73,20
2,4,10,12,69,88,68,48,17,33,95,73,52,4,60,75,76,94,33,83,80,66,86,93,76,96,29,38,7,1,66,11,45,93,83,25,37,23,14,38,53,19,43,32,59,89,84,74,43,46,70,23
2,5,10,14,56,88,68,48,17,33,95,73,52,14,60,85,45,49,33,2,81,93,76,93,96,23,79,48,7,1,66,11,45,93,81,23,57,13,10,33,53,19,43,32,55,82,84,74,46,41,70,33
2,6,10,14,56,88,68,48,17,33,95,73,52,14,60,85,45,49,33,2,81,2,76,93,86,26,79,48,7,1,66,11,45,93,81,23,57,53,47,33,53,19,43,32,55,83,84,74,46,41,70,33
2,7,10,14,56,88,63,38,7,63,15,23,82,14,60,85,45,41,33,2,81,2,76,93,86,26,79,48,7,1,66,97,45,93,81,36,57,53,47,33,53,49,83,32,59,83,84,44,35,41,70,33
2,8,10,14,33,88,63,38,7,63,15,26,82,14,30,81,45,81,33,2,81,2,6,75,86,26,79,48,7,1,66,97,45,53,81,36,47,51,40,23,53,49,83,32,59,89,84,44,5,51,70,33
2,9,10,14,33,88,63,38,7,46,75,28,82,14,30,81,45,81,33,2,81,2,6,75,86,26,79,48,7,1,66,97,45,53,81,36,47,51,40,23,53,43,86,32,59,89,84,54,5,51,70,33
2,10,10,14,33,88,63,38,7,46,75,28,82,14,30,81,45,81,33,2,81,2,46,77,66,26,79,48,7,1,66,97,45,43,81,36,47,1,40,23,53,43,86,22,59,89,84,54,1,51,72,33
2,11,10,14,33,88,63,38,7,46,75,28,82,14,30,81,45,81,33,2,81,2,46,77,66,20,59,28,7,1,66,97,45,43,81,36,47,1,40,93,13,43,86,22,59,89,24,54,1,51,72,33
2,12,10,14,33,88,63,38,87,46,85,28,92,74,30,99,15,11,33,2,81,2,46,77,66,20,59,28,7,51,66,67,45,43,81,36,47,1,40,93,13,41,26,22,55,89,24,57,1,51,72,83
2,13,10,14,33,88,63,38,87,46,85,28,92,24,30,90,15,21,33,3,81,2,46,77,66,20,59,28,7,51,69,67,85,43,81,36,97,1,40,93,13,91,26,22,59,89,24,57,1,51,72,83
2,14,10,14,33,88,63,38,87,46,85,28,2,24,30,90,15,31,33,3,81,42,26,75,66,70,59,28,2,51,69,67,85,43,81,36,97,81,90,53,13,91,26,22,50,83,24,57,1,51,72,73
2,15,10,14,33,88,63,38,87,46,85,28,2,24,40,90,15,31,33,3,81,42,26,75,26,70,59,28,2,51,69,67,85,43,81,36,97,71,90,83,13,91,26,22,50,83,24,27,1,51,32,73
2,16,10,14,83,88,1,38,67,46,85,28,2,24,40,90,15,1,33,3,81,42,26,75,26,70,59,28,7,51,69,61,85,43,81,31,97,71,90,83,13,96,26,22,50,83,24,27,1,51,32,73
