Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129
0,24,11,57,22,88,8,17,31,3,6,19,50,33,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,87,34,18,4,91,62,93,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,65,98,6,43,63,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,42,34,31,84,59,74,39,2,37,46,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,60,12,13,47
0,25,16,57,22,88,8,17,31,3,6,19,50,33,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,87,34,18,4,91,62,93,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,63,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,34,31,84,59,74,39,2,37,46,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,12,13,47
0,26,16,57,22,88,8,17,31,3,6,19,50,33,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,87,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,63,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,6,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,34,31,84,59,74,39,2,37,49,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,12,13,47
0,27,16,57,22,88,3,17,31,3,6,19,50,32,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,87,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,63,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,6,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,32,31,84,59,74,39,2,37,49,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,12,13,47
0,28,16,57,22,88,3,17,31,3,6,19,50,32,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,83,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,63,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,32,31,84,59,74,39,2,37,49,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,12,13,47
0,29,16,57,22,88,3,17,31,3,6,19,50,32,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,83,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,64,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,32,31,84,59,74,39,2,37,49,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,11,13,47
0,30,16,57,22,88,3,17,31,3,6,19,55,32,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,83,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,64,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,32,31,84,59,74,39,2,37,49,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,11,13,47
0,31,16,57,22,88,3,17,31,3,6,19,55,32,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,83,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,64,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,32,31,84,59,74,39,2,37,49,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,11,13,47
0,32,16,57,22,88,3,17,31,3,6,19,55,32,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,83,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,64,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,32,31,84,59,74,39,2,37,49,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,11,13,47
0,33,16,57,22,88,3,17,31,3,6,19,55,32,7,22,94,9,42,75,67,27,49,14,51,68,28,52,83,10,37,86,16,34,6,83,59,56,35,10,79,94,83,34,18,4,91,62,51,64,84,38,13,3,5,25,60,87,79,78,26,84,81,20,74,46,5,98,6,43,64,42,86,88,82,53,10,55,34,58,90,90,59,34,99,71,75,2,78,20,1,74,93,38,16,4,46,3,49,12,12,87,72,32,31,84,59,74,39,2,37,46,17,26,46,9,16,12,13,47,58,6,94,41,45,60,22,37,69,11,13,47
