Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59
1,9,55,42,17,54,4,57,41,15,36,44,81,7,66,12,3,40,49,15,65,0,64,12,78,94,28,20,75,67,45,54,65,41,41,63,2,88,89,11,83,81,14,56,7,97,37,86,68,76,34,27,15,86,92,23,55,6,75,84,38,70
1,10,62,2,7,54,64,57,41,15,36,44,81,7,66,12,3,40,49,15,65,0,64,12,78,94,28,20,75,67,45,57,65,41,41,63,2,88,89,11,83,81,14,56,7,97,37,89,68,76,34,27,15,86,92,23,55,6,75,82,38,70
1,11,62,2,7,54,64,57,41,15,34,44,41,7,66,12,3,40,49,15,65,0,64,12,78,94,28,20,75,67,45,57,65,41,41,33,75,88,89,11,83,81,14,56,7,97,37,89,67,76,74,27,15,86,92,23,59,6,75,82,38,70
1,12,62,2,7,54,64,57,41,15,24,44,41,7,66,12,3,40,49,15,65,0,64,42,78,54,58,20,74,67,45,57,65,41,41,33,71,88,89,11,83,81,14,56,1,97,37,89,67,76,74,27,15,81,92,23,55,6,25,82,39,70
1,13,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,88,89,11,83,81,64,56,1,97,37,89,67,76,74,22,15,81,92,23,55,6,25,82,39,70
1,14,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,88,89,11,83,81,64,56,1,97,37,89,67,76,74,22,15,81,92,23,55,6,25,84,39,70
1,15,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,88,89,11,83,81,64,56,1,97,37,89,67,76,74,22,15,81,92,23,55,6,25,84,39,70
1,16,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,84,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,82,38,70
1,17,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,84,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,87,34,70
1,18,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,84,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,82,38,70
1,19,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,87,38,70
1,20,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,87,38,70
1,21,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,72,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,87,38,70
1,22,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,87,39,70
1,23,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,84,38,70
1,24,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,84,39,70
1,25,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,82,39,70
1,26,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,67,76,74,27,15,81,92,23,59,6,25,83,38,70
1,27,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,67,76,74,27,15,81,92,23,59,6,25,87,38,70
1,28,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,67,76,74,27,15,81,92,23,59,6,25,87,38,70
1,29,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,67,76,74,27,15,81,92,23,59,6,25,87,38,70
1,30,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,67,76,74,27,15,81,92,23,59,6,25,87,38,70
1,31,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,67,76,74,27,15,81,92,23,59,6,25,87,39,70
1,32,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,67,76,74,27,15,81,92,23,59,6,25,87,38,70
1,33,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,82,38,70
1,34,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,82,39,70
1,35,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,33,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,82,39,70
1,36,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,43,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,87,39,70
1,37,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,43,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,55,6,25,87,39,70
1,38,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,43,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,59,6,25,84,39,70
1,39,62,2,7,54,64,57,41,75,24,44,41,7,66,12,3,40,49,15,35,0,64,42,78,54,58,40,75,67,45,57,65,41,41,43,75,89,89,11,83,81,64,56,1,97,37,89,60,76,74,27,15,81,92,23,59,6,25,84,39,70
2,0,37,72,88,61,83,58,81,80,85,53,85,49,56,89,4,55,35,55,72,47,47,16,31,82,23,96,84,54,67,22,47,16,78,17,1,69,35,25,79,24,87,16,2,67,7,9,54,74,52,80,69,66,37,28,61,54,25,51,67,30
2,1,2,71,83,86,81,81,81,80,85,50,70,5,52,68,47,58,4,56,25,97,63,86,27,81,68,42,89,87,65,20,40,19,78,66,1,31,33,25,66,21,64,5,2,65,6,27,57,13,11,23,64,78,33,29,95,54,25,81,65,60
2,2,17,76,83,71,89,66,62,80,9,11,15,43,86,68,47,58,4,56,25,97,63,86,27,81,68,42,89,87,65,22,46,0,88,47,1,49,39,25,66,21,64,5,2,65,6,71,54,84,70,23,64,78,33,23,99,54,25,31,65,60
2,3,17,76,83,71,89,66,62,80,9,11,15,43,86,19,27,57,64,57,85,37,43,6,47,81,68,56,83,77,61,22,46,0,88,47,1,49,39,22,66,21,14,38,2,65,77,71,54,84,70,0,63,12,73,23,99,57,95,31,60,95
2,4,19,76,43,25,89,48,72,83,75,12,63,5,2,18,62,51,84,57,85,37,43,6,47,81,68,56,83,77,61,27,44,0,27,47,8,49,39,12,94,21,14,38,2,65,77,81,58,84,75,73,63,12,73,23,87,57,95,71,60,93
2,5,19,76,43,25,89,48,72,83,75,12,63,5,2,18,62,50,84,57,52,17,43,56,91,11,68,72,85,77,61,27,44,0,27,47,8,49,39,12,96,61,8,50,9,81,77,81,58,84,75,90,63,81,13,23,87,57,55,71,60,90
2,6,49,76,42,25,89,48,72,83,75,12,63,5,2,18,62,50,84,57,52,17,43,46,97,11,68,72,89,97,61,21,46,15,93,47,8,49,39,12,96,61,8,50,9,88,77,81,50,84,75,90,63,83,10,3,87,57,15,71,60,40
2,7,49,76,42,25,89,48,72,83,75,12,63,5,2,18,34,54,24,57,62,17,43,46,97,11,68,74,89,97,61,21,46,15,93,47,8,49,39,12,96,81,8,50,9,81,77,81,50,84,75,90,63,83,13,3,87,57,15,71,60,40
2,8,49,76,42,25,89,8,42,83,75,72,23,5,41,18,34,54,24,57,62,17,43,46,97,11,68,74,89,97,61,6,46,15,43,7,8,49,39,12,96,81,8,50,9,81,77,81,50,44,65,90,63,83,13,3,87,57,15,71,60,40
2,9,49,76,42,25,89,8,42,83,75,72,23,5,41,18,34,54,24,57,62,7,43,46,97,11,68,74,89,97,61,6,46,15,43,7,8,49,39,12,96,51,4,50,38,88,77,81,50,44,65,90,63,83,13,3,87,57,15,71,60,40
2,10,49,66,42,25,89,8,2,83,75,72,23,5,41,18,72,54,24,57,62,7,43,46,97,11,68,74,89,97,61,6,46,15,13,77,8,49,39,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,9,87,57,15,71,60,40
2,11,49,66,42,25,89,8,2,83,25,72,23,65,41,18,72,54,24,57,62,7,43,46,97,11,68,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,3,87,57,15,71,60,40
2,12,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,68,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,3,87,57,75,71,60,40
2,13,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,68,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,3,87,57,75,71,60,40
2,14,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,68,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,3,87,57,75,71,60,40
2,15,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,68,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,3,87,57,75,71,60,40
2,16,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,68,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,3,87,57,75,71,60,40
2,17,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,28,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,88,77,81,60,44,65,30,63,83,13,3,87,57,75,71,60,40
2,18,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,28,74,89,97,61,6,46,60,63,77,8,49,29,42,96,51,4,50,38,86,77,81,60,44,65,30,63,83,13,3,87,57,75,71,60,40
2,19,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,28,74,89,97,61,6,46,0,63,77,8,49,29,42,96,51,4,50,38,86,77,81,60,44,65,30,63,83,13,9,87,57,75,71,60,40
2,20,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,88,74,89,97,61,6,46,0,63,77,8,49,29,42,96,51,4,50,33,86,77,81,60,44,65,30,63,83,13,9,87,57,75,71,60,40
2,21,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,88,74,89,97,61,6,46,0,63,77,8,49,29,42,96,51,4,50,33,86,77,81,60,44,65,30,63,83,13,9,87,57,75,71,60,40
2,22,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,88,74,89,97,61,6,46,0,63,77,8,49,29,42,96,51,4,50,33,86,77,81,60,44,65,30,63,83,13,9,87,57,75,71,60,40
2,23,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,88,74,89,97,61,6,46,0,63,77,8,49,29,42,96,51,4,50,33,86,77,81,60,44,65,30,63,83,13,9,87,57,75,71,60,40
2,24,49,66,42,25,89,8,2,83,25,73,43,65,41,18,72,54,24,57,32,7,43,46,57,11,88,74,89,97,61,6,46,0,63,77,8,49,29,42,96,51,4,50,33,86,77,81,60,44,65,30,63,83,13,9,87,57,75,71,60,40
