Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69
1,12,44,71,78,4,2,74,28,78,87,11,91,19,29,89,84,98,29,20,43,49,83,35,29,83,1,64,6,87,90,6,19,82,42,84,60,96,68,72,95,67,48,57,57,21,32,48,96,8,73,11,80,29,1,66,33,24,8,85,2,74,36,74,62,36,57,48,56,67,40,98
1,13,44,71,78,4,2,74,28,78,87,11,91,19,29,89,84,98,29,20,43,49,83,35,29,83,1,64,26,87,90,36,99,82,42,84,60,96,63,72,95,67,48,57,57,21,32,48,96,8,73,5,80,29,1,66,33,24,8,85,2,74,36,77,62,36,57,78,56,67,46,98
1,14,44,71,78,4,2,74,28,78,87,11,91,19,0,89,84,98,29,20,43,49,83,35,29,83,1,64,26,87,90,36,99,82,42,84,60,96,63,24,95,7,48,57,57,62,32,48,86,8,73,5,60,29,1,66,33,24,8,15,2,74,36,77,62,36,57,78,56,67,40,98
1,15,44,71,78,4,2,74,28,78,87,11,91,19,9,89,81,78,29,20,43,49,83,15,29,83,1,64,26,87,90,36,99,82,42,84,60,96,63,24,95,7,48,57,57,82,32,48,86,8,73,5,60,29,1,66,33,24,8,15,2,74,36,77,62,36,57,78,56,67,40,98
1,16,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,29,20,43,49,83,15,29,83,1,64,26,87,90,36,99,82,42,84,60,96,63,24,95,7,48,57,57,82,32,48,86,8,73,5,60,29,1,66,23,24,8,15,2,74,26,77,62,36,57,78,6,67,43,98
1,17,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,26,87,90,36,99,82,42,84,60,96,63,24,95,7,48,57,57,61,32,48,86,8,73,5,0,29,1,66,23,24,8,15,2,74,26,77,62,36,57,78,6,67,43,98
1,18,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,61,32,48,86,8,73,5,0,29,31,66,23,24,8,15,2,74,26,74,62,36,57,78,6,67,40,98
1,19,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,61,32,48,86,8,73,5,0,29,31,66,23,24,8,15,2,74,26,74,62,36,57,78,6,67,40,98
1,20,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,61,32,48,86,8,73,5,0,29,31,66,23,24,8,15,2,74,26,74,62,36,57,78,6,67,40,98
1,21,44,71,78,4,2,84,28,78,87,11,91,19,9,89,81,78,49,20,43,49,83,15,29,83,1,61,6,87,90,36,79,82,42,84,60,86,63,24,95,7,48,57,57,61,32,48,86,8,73,5,0,29,31,66,23,24,8,15,2,74,26,74,62,36,57,78,6,67,40,98
