Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
1,16,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,93,90,22,7,68,31
1,17,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,91,90,22,7,68,38
1,18,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,91,90,22,7,68,38
1,19,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,1,36,98,76,10,98,94,92,83,59,43,66,36,8,91,90,22,7,68,38
1,20,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,5,36,98,76,10,98,94,92,83,59,47,66,36,8,91,90,22,7,63,31
1,21,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,5,36,98,76,10,98,94,92,83,59,47,66,36,4,91,90,22,7,64,31
1,22,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,5,36,98,76,10,98,94,92,83,59,47,66,36,8,91,90,22,7,64,38
1,23,34,26,15,70,54,99,61,9,57,60,33,64,44,90,21,74,78,23,44,15,5,36,98,76,10,98,94,92,83,59,47,66,36,8,91,90,22,7,64,31
1,24,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,5,36,98,76,10,98,94,92,83,59,43,66,36,4,91,90,22,7,63,31
1,25,34,26,15,70,54,99,61,9,57,60,33,65,44,90,21,74,78,23,47,15,5,36,98,76,10,98,94,92,83,59,43,66,36,4,91,90,22,7,63,38
