Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149,agent-150,agent-151,agent-152,agent-153,agent-154,agent-155,agent-156,agent-157,agent-158,agent-159,agent-160,agent-161,agent-162,agent-163,agent-164,agent-165,agent-166,agent-167,agent-168,agent-169,agent-170,agent-171,agent-172,agent-173,agent-174,agent-175,agent-176,agent-177,agent-178,agent-179
0,20,5,27,85,9,15,21,21,18,75,69,14,13,96,12,23,39,62,34,13,20,37,94,35,45,16,62,8,17,54,68,73,28,3,19,5,79,56,53,94,66,39,35,30,89,76,91,66,52,43,42,37,40,46,88,36,45,13,73,55,96,63,89,75,66,33,66,74,65,75,12,39,99,63,96,25,83,61,81,4,47,91,41,17,2,4,16,12,67,95,85,53,95,47,28,76,85,21,70,59,14,44,7,91,75,40,98,47,12,67,93,22,67,79,65,79,13,25,18,67,73,99,96,7,90,36,60,18,38,34,67,73,9,37,28,22,35,89,62,8,26,2,44,8,46,41,86,29,41,82,52,8,45,34,47,69,77,5,26,98,87,69,36,9,48,12,63,20,51,19,82,88,55,43,50,22,14,3,49,74,61
0,21,5,27,35,3,75,21,21,18,75,69,14,13,96,12,23,39,62,34,13,20,37,94,35,45,16,62,8,17,54,68,73,28,3,19,5,79,56,53,94,66,39,35,30,89,76,91,66,52,43,42,37,40,46,26,36,45,13,73,55,96,63,89,75,66,43,66,74,65,55,12,39,99,63,96,25,83,61,81,4,47,91,41,17,2,4,19,12,67,95,75,58,95,87,28,76,85,21,70,59,14,44,7,91,75,40,98,47,12,67,93,22,67,79,65,79,13,25,98,68,73,99,16,7,90,36,60,18,38,34,67,73,9,37,48,22,35,9,62,8,26,2,44,8,46,41,86,29,41,82,52,8,12,34,47,69,77,5,13,78,87,69,36,9,48,12,63,23,51,19,82,88,55,43,1,22,14,3,49,71,61
0,22,5,27,35,3,75,21,21,18,75,69,14,13,96,12,23,39,62,34,13,20,37,94,35,45,16,62,8,17,54,68,73,28,3,19,5,79,56,53,34,26,39,35,0,89,55,91,66,72,43,42,37,72,46,26,36,45,13,73,55,96,63,89,75,66,43,66,74,65,55,12,39,99,63,96,25,83,61,81,4,47,91,41,17,2,4,19,12,67,95,75,58,95,87,28,76,85,21,70,59,14,44,7,91,75,40,98,47,12,67,3,26,87,79,65,79,13,69,98,68,73,99,16,7,90,36,60,18,38,34,67,73,9,37,48,22,35,9,62,8,26,2,44,8,46,41,86,69,91,82,52,8,12,34,47,69,77,5,13,78,87,69,36,9,85,12,63,23,51,19,82,88,55,10,1,22,14,3,49,71,61
0,23,5,27,35,3,75,21,21,18,75,69,14,13,96,12,23,30,8,35,43,0,97,94,35,45,16,62,8,17,54,68,73,28,3,19,5,79,56,53,34,26,39,35,0,89,55,91,66,72,43,42,37,72,46,26,36,45,13,73,55,96,63,89,75,66,43,66,74,65,55,12,39,99,63,96,25,83,61,81,4,47,91,41,17,2,4,19,12,67,95,75,58,95,87,28,76,85,21,70,58,64,34,7,91,75,40,98,47,12,67,3,26,87,79,65,79,13,69,98,68,73,99,16,7,90,36,60,18,38,34,67,73,9,37,48,22,35,9,62,8,26,72,44,8,46,41,86,69,91,82,52,8,12,34,47,69,77,5,13,78,87,99,36,9,85,12,63,23,51,19,82,88,55,10,1,22,14,3,49,71,61
0,24,5,27,35,3,75,41,84,19,35,69,14,13,96,12,23,30,8,35,43,0,97,94,35,45,16,62,8,17,54,68,73,28,3,19,5,79,56,53,34,26,39,35,0,89,55,91,66,72,43,42,37,72,46,26,36,45,13,73,55,96,63,89,75,66,43,66,74,65,55,12,39,99,63,96,25,83,61,81,4,47,91,41,17,2,4,19,12,67,95,75,58,95,87,14,56,85,21,70,58,64,34,7,91,75,40,98,47,12,67,3,26,87,79,65,79,13,69,98,68,73,99,16,7,90,36,60,18,38,34,67,73,9,37,48,22,35,9,62,8,26,72,44,8,46,41,86,69,91,82,52,8,12,34,47,69,77,5,13,78,7,99,36,9,85,12,63,23,51,19,82,88,55,10,1,22,14,3,49,71,61
0,25,5,27,35,3,75,41,84,19,35,29,14,13,76,12,23,30,8,34,43,0,47,94,65,45,92,66,8,17,74,68,73,28,3,19,5,79,56,53,34,26,39,35,0,89,55,91,66,72,43,42,37,72,46,26,36,45,13,73,55,96,63,89,75,66,43,66,74,65,55,12,39,99,63,96,25,83,61,81,4,47,91,41,17,2,4,19,12,67,95,75,58,95,87,14,56,85,21,70,58,64,34,36,91,58,40,98,47,12,67,3,26,87,79,65,79,13,69,98,68,73,99,16,7,90,36,60,18,38,34,67,73,9,37,48,22,35,9,62,18,26,70,44,18,46,41,86,69,91,82,52,8,12,34,47,69,77,5,13,78,4,49,69,9,85,12,63,23,51,19,82,88,55,10,1,22,14,3,49,74,61
0,26,5,67,35,3,75,41,44,18,64,29,14,13,76,12,23,30,8,34,43,0,47,94,65,85,90,2,8,7,79,8,73,28,1,89,85,79,58,53,34,26,39,35,0,89,50,91,66,72,56,42,37,72,46,26,36,45,13,73,55,96,63,89,75,66,43,66,74,65,55,12,39,99,63,96,25,83,61,81,4,47,91,41,17,2,4,11,12,67,25,75,58,95,87,18,56,85,21,70,58,64,34,36,91,55,40,38,40,38,67,3,26,87,79,65,79,53,69,98,68,73,99,16,7,90,36,60,18,38,34,67,73,9,37,48,12,55,59,62,18,26,90,44,18,56,43,86,19,91,82,52,8,12,34,47,69,77,5,13,78,7,49,66,78,80,12,63,23,51,19,82,88,55,84,1,22,14,3,49,71,81
0,27,55,67,35,7,75,41,44,18,64,29,14,23,76,12,23,30,8,34,43,0,47,94,65,85,90,2,8,7,79,8,13,28,3,89,87,79,58,53,34,26,39,35,20,89,50,91,66,72,56,42,34,72,46,26,36,45,56,79,55,96,83,89,75,66,43,66,74,45,55,12,39,99,43,6,55,83,61,83,24,47,91,41,17,32,14,11,12,67,25,75,58,95,1,54,56,89,21,70,58,64,34,36,91,58,40,38,40,40,67,3,26,87,79,65,79,33,69,98,67,73,99,88,87,10,35,60,18,77,84,7,3,95,37,48,12,55,59,62,18,26,90,44,18,56,40,96,19,91,86,52,4,17,34,7,49,77,5,13,78,8,49,69,72,80,12,33,23,51,19,82,88,55,84,61,22,14,3,49,71,81
0,28,55,67,35,3,75,41,43,68,64,29,14,23,76,12,23,30,8,34,43,0,47,94,65,85,90,2,8,7,79,8,13,28,3,89,87,79,58,53,34,26,39,35,20,89,50,91,66,72,56,42,34,72,46,26,36,45,56,79,55,96,83,89,75,66,43,66,74,45,55,12,39,99,43,6,55,83,61,83,24,47,91,41,17,32,14,19,12,97,25,75,58,95,67,58,56,89,21,70,58,64,34,36,91,58,40,38,40,40,67,3,26,87,79,65,79,33,69,98,67,73,99,88,87,10,35,60,18,77,84,7,3,95,37,38,12,55,59,62,18,26,90,44,18,56,40,96,19,91,86,52,4,17,34,7,49,77,5,13,78,7,49,69,72,80,12,33,23,51,19,82,58,55,84,61,22,14,3,49,71,81
0,29,55,67,35,3,75,41,43,68,64,29,14,23,76,12,23,30,8,34,43,0,47,94,65,85,90,2,8,7,79,8,13,28,3,89,87,79,58,59,34,26,39,35,20,89,50,93,54,72,56,52,84,82,86,26,36,45,56,79,55,96,83,89,75,66,43,66,74,45,55,12,39,99,43,6,55,83,61,83,24,47,91,41,17,32,14,19,12,97,25,75,58,95,67,58,56,89,21,70,58,64,34,36,91,58,40,38,40,40,67,3,26,87,79,65,43,31,95,98,67,73,99,88,87,10,35,60,18,77,84,7,3,95,37,38,12,55,59,62,18,26,90,44,18,56,40,96,19,91,82,52,4,17,34,7,49,77,5,13,78,7,49,69,72,85,12,33,23,51,19,82,58,55,12,61,22,14,3,49,74,81
