Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99,agent-100,agent-101,agent-102,agent-103,agent-104,agent-105,agent-106,agent-107,agent-108,agent-109,agent-110,agent-111,agent-112,agent-113,agent-114,agent-115,agent-116,agent-117,agent-118,agent-119,agent-120,agent-121,agent-122,agent-123,agent-124,agent-125,agent-126,agent-127,agent-128,agent-129,agent-130,agent-131,agent-132,agent-133,agent-134,agent-135,agent-136,agent-137,agent-138,agent-139,agent-140,agent-141,agent-142,agent-143,agent-144,agent-145,agent-146,agent-147,agent-148,agent-149
0,20,70,93,46,45,58,64,78,50,22,91,7,30,41,27,53,70,62,67,53,58,52,23,74,73,84,15,4,69,19,92,14,13,43,18,61,44,20,37,55,85,75,19,62,38,59,13,82,64,2,4,77,63,48,41,21,91,84,78,57,84,90,93,40,41,92,90,53,2,1,32,84,97,45,99,33,55,0,81,66,47,6,4,70,9,27,37,24,12,66,92,6,2,70,30,3,36,24,56,11,91,87,41,39,35,59,35,4,31,3,1,89,72,47,16,75,18,35,92,38,26,19,43,79,7,77,5,95,90,90,69,94,72,16,63,25,31,72,88,36,54,84,65,28,44,43,58,78,13,1,8
0,21,70,93,46,45,58,64,78,50,22,91,7,30,41,27,53,70,62,67,53,58,52,23,74,73,84,15,4,69,57,92,14,13,43,18,61,44,22,37,55,85,75,19,62,38,16,53,82,84,2,14,17,70,78,25,21,91,84,78,57,84,90,93,40,41,92,90,53,2,1,32,84,97,45,99,33,55,0,81,66,47,6,4,70,9,27,37,24,12,66,92,6,2,70,30,13,36,24,56,71,90,87,51,39,35,59,35,4,31,3,1,89,72,47,16,75,18,35,92,38,26,19,43,79,7,77,5,95,90,90,69,94,72,16,63,25,39,72,88,36,54,84,65,28,44,3,58,78,13,1,8
0,22,70,93,46,5,78,64,8,50,22,91,7,30,41,27,53,70,62,67,33,28,52,23,74,73,84,17,4,69,57,92,14,13,43,18,61,44,94,30,55,85,75,19,22,38,16,53,82,84,2,54,17,70,78,25,21,91,84,78,57,34,40,93,40,41,92,90,53,2,1,32,64,67,45,19,43,48,0,61,36,27,36,4,70,9,67,58,24,22,66,92,6,6,70,36,13,36,74,56,71,90,82,51,39,35,19,65,4,31,3,1,39,74,67,6,75,78,35,2,28,26,19,43,79,7,87,5,95,57,90,69,94,42,66,63,65,39,72,88,36,54,84,85,28,44,3,58,77,13,91,8
0,23,10,93,78,25,70,64,8,50,22,91,7,30,41,27,53,70,62,67,33,28,52,23,74,73,84,17,4,69,57,92,14,13,43,18,61,44,94,30,55,85,75,19,22,38,16,53,82,84,2,54,17,70,78,25,21,91,84,78,57,34,40,93,50,61,92,90,53,52,1,2,64,67,45,19,43,45,0,21,36,27,36,4,70,9,67,58,24,22,66,92,6,6,70,36,13,36,74,56,71,90,82,51,39,35,19,65,40,11,3,1,39,74,67,6,75,78,35,2,28,26,19,43,79,7,87,5,95,50,40,3,94,42,26,63,65,39,72,88,36,54,84,85,28,44,3,78,77,13,91,8
0,24,10,93,78,25,70,64,8,50,22,91,7,30,41,27,53,70,62,67,33,28,52,23,74,73,84,17,4,69,57,92,14,13,43,18,21,44,52,70,55,85,75,19,22,38,16,53,82,14,72,54,17,70,78,65,81,91,84,78,57,34,40,93,50,61,92,90,53,52,1,2,64,67,45,19,43,45,0,21,36,27,36,4,70,9,67,58,24,88,66,92,36,6,70,30,13,36,74,56,71,90,82,51,39,35,19,65,40,11,3,1,39,74,67,6,75,78,35,2,28,56,19,43,79,7,87,3,95,50,40,3,94,42,26,63,65,35,72,88,46,54,84,85,28,44,13,78,77,13,91,8
0,25,10,93,78,25,70,64,8,60,52,91,7,30,11,27,53,70,62,67,43,28,52,77,14,73,84,17,4,69,57,92,14,13,43,18,21,44,52,70,55,85,75,19,22,38,16,53,82,14,72,54,17,70,78,65,81,91,84,78,57,34,40,93,50,61,92,90,53,52,1,2,64,67,45,19,73,45,0,21,76,7,36,4,70,19,61,58,24,88,66,92,36,6,70,30,13,36,74,56,71,90,82,51,39,35,19,65,40,11,3,1,39,74,14,6,75,38,37,2,23,56,19,43,79,7,87,3,95,50,40,3,94,42,28,63,65,35,72,88,46,54,84,85,28,44,13,78,77,13,91,8
0,26,10,93,78,25,70,64,8,60,52,91,37,30,11,27,53,70,62,67,43,28,52,73,14,73,37,37,4,69,57,92,14,13,43,78,21,44,52,70,55,85,75,19,22,38,46,53,22,14,72,54,67,50,78,65,81,31,54,78,57,4,40,93,50,61,72,90,53,52,91,2,64,67,45,19,73,45,0,21,76,7,36,4,70,19,61,58,24,82,66,92,36,6,70,76,13,31,34,56,71,90,22,55,39,38,79,65,44,96,3,1,39,74,14,6,75,38,37,2,28,56,19,43,59,57,47,3,35,67,40,33,94,42,25,63,65,35,72,88,46,54,84,85,28,44,13,48,74,13,91,8
0,27,10,93,78,25,70,64,8,60,52,91,37,30,11,27,64,70,62,67,43,28,52,73,14,73,37,75,4,69,57,92,14,13,43,78,21,44,52,10,5,85,75,19,22,38,46,53,32,14,79,94,67,50,58,65,81,31,54,18,77,74,40,93,50,81,72,97,53,52,91,2,64,67,45,19,73,45,0,21,77,7,36,4,70,19,61,58,24,82,66,92,26,16,70,76,13,31,34,56,61,90,22,55,39,38,79,65,40,91,3,1,39,74,14,6,75,38,30,2,18,56,11,53,59,57,47,3,35,60,40,33,34,42,95,63,65,35,72,88,46,54,86,85,78,44,13,48,74,13,91,8
0,28,10,93,78,25,70,64,8,60,52,91,37,30,11,27,64,70,62,67,43,28,52,73,14,73,37,75,4,69,57,92,15,73,43,78,21,44,72,10,5,85,75,19,22,38,46,53,32,14,79,94,67,50,58,65,81,31,54,18,77,74,40,93,50,81,72,97,53,52,91,2,64,67,45,19,73,45,0,21,77,7,36,4,70,19,61,58,24,82,66,92,28,16,70,76,13,31,34,56,61,90,22,55,39,38,79,65,40,91,3,1,39,74,14,6,75,38,30,2,18,56,31,53,59,57,47,3,35,60,40,33,34,42,95,63,65,35,72,88,46,54,86,85,78,54,13,48,74,13,91,8
0,29,40,93,76,25,70,64,8,60,52,91,37,30,11,27,64,70,62,67,43,28,52,73,34,73,37,75,4,69,57,92,15,73,43,78,21,44,72,10,5,85,75,9,22,38,46,53,32,14,79,94,67,50,58,65,81,31,54,18,77,74,40,93,50,81,72,90,83,72,91,2,64,67,45,29,13,45,40,21,77,7,36,4,70,19,61,57,24,82,66,92,28,16,70,70,13,31,34,56,61,90,22,55,39,38,29,65,40,91,3,1,39,74,14,6,78,38,30,2,13,56,31,53,59,57,47,33,35,60,49,33,34,42,95,63,65,35,72,88,96,54,83,85,78,54,12,48,7,13,91,8
